feature,p_value,method
Right Superior Frontal Gyrus,0.02686162190953318,Harvard_Oxford cortl 0 x 1
Left Middle Frontal Gyrus,0.2047666556873845,Harvard_Oxford cortl 0 x 1
Right Middle Frontal Gyrus,0.12245415825951292,Harvard_Oxford cortl 0 x 1
"Left Inferior Frontal Gyrus, pars triangularis",0.05576342708246719,Harvard_Oxford cortl 0 x 1
"Right Inferior Frontal Gyrus, pars triangularis",0.06369736804403844,Harvard_Oxford cortl 0 x 1
"Left Inferior Frontal Gyrus, pars opercularis",0.034544878048528974,Harvard_Oxford cortl 0 x 1
"Right Inferior Frontal Gyrus, pars opercularis",0.033781075415391895,Harvard_Oxford cortl 0 x 1
Left Precentral Gyrus,0.7396748750525075,Harvard_Oxford cortl 0 x 1
Right Precentral Gyrus,0.6827296968740684,Harvard_Oxford cortl 0 x 1
Left Temporal Pole,0.14248207039167451,Harvard_Oxford cortl 0 x 1
Right Temporal Pole,0.07130116380112174,Harvard_Oxford cortl 0 x 1
"Left Superior Temporal Gyrus, anterior division",0.10921115186330166,Harvard_Oxford cortl 0 x 1
"Right Superior Temporal Gyrus, anterior division",0.5814572533337656,Harvard_Oxford cortl 0 x 1
"Left Superior Temporal Gyrus, posterior division",0.6577602255597499,Harvard_Oxford cortl 0 x 1
"Right Superior Temporal Gyrus, posterior division",0.07871701549315135,Harvard_Oxford cortl 0 x 1
"Left Middle Temporal Gyrus, anterior division",0.1459939969969298,Harvard_Oxford cortl 0 x 1
"Right Middle Temporal Gyrus, anterior division",0.0613901758872525,Harvard_Oxford cortl 0 x 1
"Left Middle Temporal Gyrus, posterior division",0.5457212212278012,Harvard_Oxford cortl 0 x 1
"Right Middle Temporal Gyrus, posterior division",0.23562754285157267,Harvard_Oxford cortl 0 x 1
"Left Middle Temporal Gyrus, temporooccipital part",0.1351352731173213,Harvard_Oxford cortl 0 x 1
"Right Middle Temporal Gyrus, temporooccipital part",0.061618258782084635,Harvard_Oxford cortl 0 x 1
"Left Inferior Temporal Gyrus, anterior division",0.033221076976065606,Harvard_Oxford cortl 0 x 1
"Right Inferior Temporal Gyrus, anterior division",0.00245056802100516,Harvard_Oxford cortl 0 x 1
"Left Inferior Temporal Gyrus, posterior division",0.48173898574119745,Harvard_Oxford cortl 0 x 1
"Right Inferior Temporal Gyrus, posterior division",0.2909553624936397,Harvard_Oxford cortl 0 x 1
"Left Inferior Temporal Gyrus, temporooccipital part",0.06182135065643139,Harvard_Oxford cortl 0 x 1
"Right Inferior Temporal Gyrus, temporooccipital part",0.20462663522510605,Harvard_Oxford cortl 0 x 1
Left Postcentral Gyrus,0.9015348180458962,Harvard_Oxford cortl 0 x 1
Right Postcentral Gyrus,0.8252088433127782,Harvard_Oxford cortl 0 x 1
Left Superior Parietal Lobule,0.4213196819616484,Harvard_Oxford cortl 0 x 1
Right Superior Parietal Lobule,0.3054896510340382,Harvard_Oxford cortl 0 x 1
"Left Supramarginal Gyrus, anterior division",0.11338976754524653,Harvard_Oxford cortl 0 x 1
"Right Supramarginal Gyrus, anterior division",0.6418619410457049,Harvard_Oxford cortl 0 x 1
"Left Supramarginal Gyrus, posterior division",0.11882530369753487,Harvard_Oxford cortl 0 x 1
"Right Supramarginal Gyrus, posterior division",0.1256602046125067,Harvard_Oxford cortl 0 x 1
Left Angular Gyrus,0.6421642035586967,Harvard_Oxford cortl 0 x 1
Right Angular Gyrus,0.0045910514344011995,Harvard_Oxford cortl 0 x 1
"Left Lateral Occipital Cortex, superior division",0.21236602197423088,Harvard_Oxford cortl 0 x 1
"Right Lateral Occipital Cortex, superior division",0.030373677804336523,Harvard_Oxford cortl 0 x 1
"Left Lateral Occipital Cortex, inferior division",0.019719052599946447,Harvard_Oxford cortl 0 x 1
"Right Lateral Occipital Cortex, inferior division",0.023723286569557956,Harvard_Oxford cortl 0 x 1
Left Intracalcarine Cortex,0.6064784428152578,Harvard_Oxford cortl 0 x 1
Right Intracalcarine Cortex,0.3279897072688104,Harvard_Oxford cortl 0 x 1
Left Frontal Medial Cortex,0.04071397729538686,Harvard_Oxford cortl 0 x 1
Right Frontal Medial Cortex,0.027607616080988592,Harvard_Oxford cortl 0 x 1
Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.941447270423789,Harvard_Oxford cortl 0 x 1
Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.951887785368589,Harvard_Oxford cortl 0 x 1
Left Subcallosal Cortex,0.0032703752490081082,Harvard_Oxford cortl 0 x 1
Right Subcallosal Cortex,0.001981240246734388,Harvard_Oxford cortl 0 x 1
Left Paracingulate Gyrus,0.2142467091746902,Harvard_Oxford cortl 0 x 1
Right Paracingulate Gyrus,0.19980827247482516,Harvard_Oxford cortl 0 x 1
"Left Cingulate Gyrus, anterior division",0.6888769549015299,Harvard_Oxford cortl 0 x 1
"Right Cingulate Gyrus, anterior division",0.8480618960671549,Harvard_Oxford cortl 0 x 1
"Left Cingulate Gyrus, posterior division",0.09663438907166318,Harvard_Oxford cortl 0 x 1
"Right Cingulate Gyrus, posterior division",0.01761890276768295,Harvard_Oxford cortl 0 x 1
Left Precuneous Cortex,0.035936366008185734,Harvard_Oxford cortl 0 x 1
Right Precuneous Cortex,0.009162574235743069,Harvard_Oxford cortl 0 x 1
Left Cuneal Cortex,0.04955535895812382,Harvard_Oxford cortl 0 x 1
Right Cuneal Cortex,0.10459304370901353,Harvard_Oxford cortl 0 x 1
Left Frontal Orbital Cortex,0.019156420748286804,Harvard_Oxford cortl 0 x 1
Right Frontal Orbital Cortex,0.15744608528314205,Harvard_Oxford cortl 0 x 1
"Left Parahippocampal Gyrus, anterior division",0.11066029779733266,Harvard_Oxford cortl 0 x 1
"Right Parahippocampal Gyrus, anterior division",0.16656649184873282,Harvard_Oxford cortl 0 x 1
"Left Parahippocampal Gyrus, posterior division",0.8164978898683608,Harvard_Oxford cortl 0 x 1
"Right Parahippocampal Gyrus, posterior division",0.4530359459074885,Harvard_Oxford cortl 0 x 1
Left Lingual Gyrus,0.9740267295094847,Harvard_Oxford cortl 0 x 1
Right Lingual Gyrus,0.7085244174119132,Harvard_Oxford cortl 0 x 1
"Left Temporal Fusiform Cortex, anterior division",0.019920917558901553,Harvard_Oxford cortl 0 x 1
"Right Temporal Fusiform Cortex, anterior division",0.01001139837051779,Harvard_Oxford cortl 0 x 1
"Left Temporal Fusiform Cortex, posterior division",0.4151211059573997,Harvard_Oxford cortl 0 x 1
"Right Temporal Fusiform Cortex, posterior division",0.18595249569786515,Harvard_Oxford cortl 0 x 1
Left Temporal Occipital Fusiform Cortex,0.778756058422161,Harvard_Oxford cortl 0 x 1
Right Temporal Occipital Fusiform Cortex,0.18340794296547824,Harvard_Oxford cortl 0 x 1
Left Occipital Fusiform Gyrus,0.7367107308771155,Harvard_Oxford cortl 0 x 1
Right Occipital Fusiform Gyrus,0.4893077228782512,Harvard_Oxford cortl 0 x 1
Left Frontal Operculum Cortex,0.32418774938460754,Harvard_Oxford cortl 0 x 1
Right Frontal Operculum Cortex,0.18794818223569368,Harvard_Oxford cortl 0 x 1
Left Central Opercular Cortex,0.11496381253831871,Harvard_Oxford cortl 0 x 1
Right Central Opercular Cortex,0.3394061084147169,Harvard_Oxford cortl 0 x 1
Left Parietal Operculum Cortex,0.2902097303024913,Harvard_Oxford cortl 0 x 1
Right Parietal Operculum Cortex,0.6662969803213133,Harvard_Oxford cortl 0 x 1
Left Planum Polare,0.029074710038961473,Harvard_Oxford cortl 0 x 1
Right Planum Polare,0.5632634900334821,Harvard_Oxford cortl 0 x 1
Left Heschl's Gyrus (includes H1 and H2),0.18060568214725928,Harvard_Oxford cortl 0 x 1
Right Heschl's Gyrus (includes H1 and H2),0.16013444221832993,Harvard_Oxford cortl 0 x 1
Left Planum Temporale,0.31329754068808313,Harvard_Oxford cortl 0 x 1
Right Planum Temporale,0.6341279737192989,Harvard_Oxford cortl 0 x 1
Left Supracalcarine Cortex,0.26793236033899825,Harvard_Oxford cortl 0 x 1
Right Supracalcarine Cortex,0.3364218183868498,Harvard_Oxford cortl 0 x 1
Left Occipital Pole,0.952912861847917,Harvard_Oxford cortl 0 x 1
Right Occipital Pole,0.8769593241876507,Harvard_Oxford cortl 0 x 1
Left Cerebral White Matter,0.04403346202918168,Harvard_Oxford sub 0 x 1
Left Cerebral Cortex ,0.05084441970986029,Harvard_Oxford sub 0 x 1
Left Lateral Ventrical,0.13733697157747096,Harvard_Oxford sub 0 x 1
Left Thalamus,0.5261359807756381,Harvard_Oxford sub 0 x 1
Left Caudate,0.027797763175529254,Harvard_Oxford sub 0 x 1
Left Putamen,0.09687585290485104,Harvard_Oxford sub 0 x 1
Left Pallidum,0.04730031600969274,Harvard_Oxford sub 0 x 1
Brain-Stem,0.10222018129888874,Harvard_Oxford sub 0 x 1
Left Hippocampus,0.04069222596771101,Harvard_Oxford sub 0 x 1
Left Amygdala,0.16403619402796113,Harvard_Oxford sub 0 x 1
Left Accumbens,0.007467025993335844,Harvard_Oxford sub 0 x 1
Right Cerebral White Matter,0.11133719633821858,Harvard_Oxford sub 0 x 1
Right Cerebral Cortex ,0.08667673819083258,Harvard_Oxford sub 0 x 1
Right Lateral Ventricle,0.4729579397217646,Harvard_Oxford sub 0 x 1
Right Thalamus,0.5250080622728395,Harvard_Oxford sub 0 x 1
Right Caudate,0.26990805168935156,Harvard_Oxford sub 0 x 1
Right Putamen,0.10298252238908237,Harvard_Oxford sub 0 x 1
Right Pallidum,0.16663503301354612,Harvard_Oxford sub 0 x 1
Right Hippocampus,0.4931568781332277,Harvard_Oxford sub 0 x 1
Right Amygdala,0.6882643872448373,Harvard_Oxford sub 0 x 1
Right Accumbens,0.026144630378013994,Harvard_Oxford sub 0 x 1
GM Amygdala_centromedial group,0.43655000282146983,Juelich 0 x 1
GM Amygdala_laterobasal group,0.23258615048185496,Juelich 0 x 1
GM Amygdala_superficial group,0.46132066500828905,Juelich 0 x 1
GM Anterior intra-parietal sulcus hIP1,0.029363977984341177,Juelich 0 x 1
GM Anterior intra-parietal sulcus hIP2,0.057109693672632834,Juelich 0 x 1
GM Anterior intra-parietal sulcus hIP3,0.11779056395121171,Juelich 0 x 1
GM Broca's area BA44,0.06134056801360712,Juelich 0 x 1
GM Broca's area BA45,0.0978700250925308,Juelich 0 x 1
GM Hippocampus cornu ammonis,0.28060296030651544,Juelich 0 x 1
GM Hippocampus dentate gyrus,0.18585449716031222,Juelich 0 x 1
GM Hippocampus entorhinal cortex,0.08166216260526374,Juelich 0 x 1
GM Hippocampus hippocampal-amygdaloid transition area,0.09843575040679746,Juelich 0 x 1
GM Hippocampus subiculum,0.45756509342627616,Juelich 0 x 1
GM Inferior parietal lobule PF,0.2515213568024685,Juelich 0 x 1
GM Inferior parietal lobule PFcm,0.6744046704938997,Juelich 0 x 1
GM Inferior parietal lobule PFm,0.08261803409135587,Juelich 0 x 1
GM Inferior parietal lobule PFop,0.6277404967285957,Juelich 0 x 1
GM Inferior parietal lobule PFt,0.3433276859704388,Juelich 0 x 1
GM Inferior parietal lobule PGp,0.0014855590537533943,Juelich 0 x 1
GM Inferior parietal lobule Pga,0.0401721367667043,Juelich 0 x 1
GM Insula Id1,0.20579197003883776,Juelich 0 x 1
GM Insula Ig1,0.24123261175462868,Juelich 0 x 1
GM Insula Ig2,0.17893668431283066,Juelich 0 x 1
GM Lateral geniculate body,0.8442638718681146,Juelich 0 x 1
GM Mamillary body,0.027102368325655345,Juelich 0 x 1
GM Medial geniculate body,0.7187942751532809,Juelich 0 x 1
GM Premotor cortex BA6,0.3622358243940155,Juelich 0 x 1
GM Primary auditory cortex TE1.0,0.20432099625052097,Juelich 0 x 1
GM Primary auditory cortex TE1.1,0.3430172728007867,Juelich 0 x 1
GM Primary auditory cortex TE1.2,0.3772396379670565,Juelich 0 x 1
GM Primary motor cortex BA4a,0.3799720860826491,Juelich 0 x 1
GM Primary motor cortex BA4p,0.6685538883654598,Juelich 0 x 1
GM Primary somatosensory cortex BA1,0.974661097064284,Juelich 0 x 1
GM Primary somatosensory cortex BA2,0.5942032628877265,Juelich 0 x 1
GM Primary somatosensory cortex BA3a,0.508532175713925,Juelich 0 x 1
GM Primary somatosensory cortex BA3b,0.6049394141889155,Juelich 0 x 1
GM Secondary somatosensory cortex / Parietal operculum OP1,0.26341185921314947,Juelich 0 x 1
GM Secondary somatosensory cortex / Parietal operculum OP2,0.2968612559564361,Juelich 0 x 1
GM Secondary somatosensory cortex / Parietal operculum OP3,0.22882625710754997,Juelich 0 x 1
GM Secondary somatosensory cortex / Parietal operculum OP4,0.27849206034381324,Juelich 0 x 1
GM Superior parietal lobule 5Ci,0.19665321816939949,Juelich 0 x 1
GM Superior parietal lobule 5L,0.29914616306056646,Juelich 0 x 1
GM Superior parietal lobule 5M,0.1582043184223097,Juelich 0 x 1
GM Superior parietal lobule 7A,0.011383387861630801,Juelich 0 x 1
GM Superior parietal lobule 7M,0.0011339769235839613,Juelich 0 x 1
GM Superior parietal lobule 7P,0.0806307833203599,Juelich 0 x 1
GM Superior parietal lobule 7PC,0.21291963129378583,Juelich 0 x 1
GM Visual cortex V1 BA17,0.41223777846762855,Juelich 0 x 1
GM Visual cortex V2 BA18,0.43760272036376013,Juelich 0 x 1
GM Visual cortex V3V,0.8081613330034754,Juelich 0 x 1
GM Visual cortex V4,0.8573384291195937,Juelich 0 x 1
GM Visual cortex V5,0.023355493092776777,Juelich 0 x 1
WM Acoustic radiation,0.398901038656467,Juelich 0 x 1
WM Callosal body,0.07496342371844823,Juelich 0 x 1
WM Cingulum,0.33316408762469985,Juelich 0 x 1
WM Corticospinal tract,0.10551483213853352,Juelich 0 x 1
WM Fornix,0.8242523360804297,Juelich 0 x 1
WM Inferior occipito-frontal fascicle,0.14415800924418326,Juelich 0 x 1
WM Optic radiation,0.3527998184548383,Juelich 0 x 1
WM Superior longitudinal fascicle,0.040245603477460874,Juelich 0 x 1
WM Superior occipito-frontal fascicle,0.2493341830821011,Juelich 0 x 1
WM Uncinate fascicle,0.2906877664877357,Juelich 0 x 1
Precentral_L,0.2867541676223995,AAL SPM12
Precentral_R,0.5945288417985731,AAL SPM12
Frontal_Sup_L,0.06051542179270024,AAL SPM12
Frontal_Sup_R,0.030668864061813333,AAL SPM12
Frontal_Sup_Orb_L,0.07861520481402208,AAL SPM12
Frontal_Sup_Orb_R,0.024586820916440263,AAL SPM12
Frontal_Mid_L,0.18716828029986424,AAL SPM12
Frontal_Mid_R,0.31704681981453986,AAL SPM12
Frontal_Mid_Orb_L,0.13408395666637205,AAL SPM12
Frontal_Mid_Orb_R,0.029973588923912813,AAL SPM12
Frontal_Inf_Oper_L,0.016871008334682094,AAL SPM12
Frontal_Inf_Oper_R,0.1754472411719705,AAL SPM12
Frontal_Inf_Tri_L,0.0727578588192433,AAL SPM12
Frontal_Inf_Tri_R,0.06285072860553736,AAL SPM12
Frontal_Inf_Orb_L,0.050681480079578345,AAL SPM12
Frontal_Inf_Orb_R,0.05642058137968289,AAL SPM12
Rolandic_Oper_L,0.19343813382258504,AAL SPM12
Rolandic_Oper_R,0.4102678236619385,AAL SPM12
Supp_Motor_Area_L,0.3280606417520517,AAL SPM12
Supp_Motor_Area_R,0.3714484706875635,AAL SPM12
Olfactory_L,0.00028941742099452536,AAL SPM12
Olfactory_R,0.0008097177578428506,AAL SPM12
Frontal_Sup_Medial_L,0.02948247468230555,AAL SPM12
Frontal_Sup_Medial_R,0.004872478971055151,AAL SPM12
Frontal_Med_Orb_L,0.13967627971376576,AAL SPM12
Frontal_Med_Orb_R,0.07984496376289738,AAL SPM12
Rectus_L,0.02417018934256878,AAL SPM12
Rectus_R,0.03262834806659719,AAL SPM12
Insula_L,0.12211264551985808,AAL SPM12
Insula_R,0.44282249877707325,AAL SPM12
Cingulum_Ant_L,0.1783730692562851,AAL SPM12
Cingulum_Ant_R,0.5230987578894954,AAL SPM12
Cingulum_Mid_L,0.38565380199708266,AAL SPM12
Cingulum_Mid_R,0.5238377011662999,AAL SPM12
Cingulum_Post_L,0.07666537812409475,AAL SPM12
Cingulum_Post_R,0.06878177946204876,AAL SPM12
Hippocampus_L,0.07173367556160451,AAL SPM12
Hippocampus_R,0.3277720618279207,AAL SPM12
ParaHippocampal_L,0.1858793590683565,AAL SPM12
ParaHippocampal_R,0.49437141748679736,AAL SPM12
Amygdala_L,0.22040823082253808,AAL SPM12
Amygdala_R,0.9627559200041256,AAL SPM12
Calcarine_L,0.4843700285443324,AAL SPM12
Calcarine_R,0.44102622504827016,AAL SPM12
Cuneus_L,0.031061069441346328,AAL SPM12
Cuneus_R,0.16091070956593193,AAL SPM12
Lingual_L,0.8842343128636552,AAL SPM12
Lingual_R,0.4867892653558208,AAL SPM12
Occipital_Sup_L,0.6112984976992213,AAL SPM12
Occipital_Sup_R,0.8432607868303734,AAL SPM12
Occipital_Mid_L,0.3514957595329426,AAL SPM12
Occipital_Mid_R,0.5342536142884002,AAL SPM12
Occipital_Inf_L,0.18165730748851622,AAL SPM12
Occipital_Inf_R,0.48267865481208694,AAL SPM12
Fusiform_L,0.8332833835070045,AAL SPM12
Fusiform_R,0.41901054821569195,AAL SPM12
Postcentral_L,0.8601779196500647,AAL SPM12
Postcentral_R,0.9406861996936222,AAL SPM12
Parietal_Sup_L,0.38866240667768526,AAL SPM12
Parietal_Sup_R,0.04688318183992775,AAL SPM12
Parietal_Inf_L,0.11568608035807917,AAL SPM12
Parietal_Inf_R,0.015630366816138466,AAL SPM12
SupraMarginal_L,0.3420082423548499,AAL SPM12
SupraMarginal_R,0.44247094016284017,AAL SPM12
Angular_L,0.021547075915287133,AAL SPM12
Angular_R,0.0004330166840189095,AAL SPM12
Precuneus_L,0.20934181109078343,AAL SPM12
Precuneus_R,0.021408221591776282,AAL SPM12
Paracentral_Lobule_L,0.6707734913628338,AAL SPM12
Paracentral_Lobule_R,0.27750856924877787,AAL SPM12
Caudate_L,0.019649119754405652,AAL SPM12
Caudate_R,0.24950323866802868,AAL SPM12
Putamen_L,0.12039578396576779,AAL SPM12
Putamen_R,0.1267808431023807,AAL SPM12
Pallidum_L,0.08176352109428714,AAL SPM12
Pallidum_R,0.20302534085515953,AAL SPM12
Thalamus_L,0.2820494929716795,AAL SPM12
Thalamus_R,0.2532052614958287,AAL SPM12
Heschl_L,0.17474489094101261,AAL SPM12
Heschl_R,0.1241848501293703,AAL SPM12
Temporal_Sup_L,0.26959261207971,AAL SPM12
Temporal_Sup_R,0.42989087122342673,AAL SPM12
Temporal_Pole_Sup_L,0.03380016499846631,AAL SPM12
Temporal_Pole_Sup_R,0.27772307858691614,AAL SPM12
Temporal_Mid_L,0.48450549784864183,AAL SPM12
Temporal_Mid_R,0.013623705635002687,AAL SPM12
Temporal_Pole_Mid_L,0.12073290864915136,AAL SPM12
Temporal_Pole_Mid_R,0.0015570152413166359,AAL SPM12
Temporal_Inf_L,0.08038000782806129,AAL SPM12
Temporal_Inf_R,0.17208615173454384,AAL SPM12
Cerebelum_Crus1_L,0.6731725020858499,AAL SPM12
Cerebelum_Crus1_R,0.3938452863805849,AAL SPM12
Cerebelum_Crus2_L,0.7910324006193713,AAL SPM12
Cerebelum_Crus2_R,0.7627432999844963,AAL SPM12
Cerebelum_3_L,0.05141379979574077,AAL SPM12
Cerebelum_3_R,0.16561789050808673,AAL SPM12
Cerebelum_4_5_L,0.733620573218082,AAL SPM12
Cerebelum_4_5_R,0.42283495282510963,AAL SPM12
Cerebelum_6_L,0.7391217971326861,AAL SPM12
Cerebelum_6_R,0.11370869379695085,AAL SPM12
Cerebelum_7b_L,0.5822927530926986,AAL SPM12
Cerebelum_7b_R,0.580981992876594,AAL SPM12
Cerebelum_8_L,0.41589092199703315,AAL SPM12
Cerebelum_8_R,0.5156875340345581,AAL SPM12
Cerebelum_9_L,0.15125676079410744,AAL SPM12
Cerebelum_9_R,0.20805922162142318,AAL SPM12
Cerebelum_10_L,0.07079584264447078,AAL SPM12
Cerebelum_10_R,0.227645481750997,AAL SPM12
Vermis_1_2,0.038451081621383096,AAL SPM12
Vermis_3,0.247638253227526,AAL SPM12
Vermis_4_5,0.13041814841671903,AAL SPM12
Vermis_6,0.93433880289073,AAL SPM12
Vermis_7,0.21985707850989278,AAL SPM12
Vermis_8,0.7856747352222605,AAL SPM12
Vermis_9,0.9424527704163376,AAL SPM12
Vermis_10,0.4598503540724377,AAL SPM12
Left Cerebellum,0.6019921748957672,Talairach Hemi
Right Cerebellum,0.17731153720433798,Talairach Hemi
Left Brainstem,0.07153399513000822,Talairach Hemi
Right Brainstem,0.03634275466326769,Talairach Hemi
Left Cerebrum,0.039534135367209136,Talairach Hemi
Right Cerebrum,0.10412713395316883,Talairach Hemi
Inter-Hemispheric,0.010265257603318565,Talairach Hemi
Posterior Lobe,0.4104978573124617,Talairach Lobe
Medulla,0.07548054460622507,Talairach Lobe
Temporal Lobe,0.17826741214370923,Talairach Lobe
Limbic Lobe,0.11763742275990806,Talairach Lobe
Frontal Lobe,0.1831640675474947,Talairach Lobe
Sub-lobar,0.1455149642110133,Talairach Lobe
Pons,0.006093112958776178,Talairach Lobe
Anterior Lobe,0.3230096811170828,Talairach Lobe
Occipital Lobe,0.7448824119458937,Talairach Lobe
Midbrain,0.6082086883965255,Talairach Lobe
Frontal-Temporal Space,0.5027042399806565,Talairach Lobe
Parietal Lobe,0.041868492306951686,Talairach Lobe
Inferior Semi-Lunar Lobule,0.6512136309817145,Talairach Gyrus
Cerebellar Tonsil,0.24335951404834608,Talairach Gyrus
Inferior Temporal Gyrus,0.04584514401504667,Talairach Gyrus
Uncus,0.10490520583075023,Talairach Gyrus
Middle Temporal Gyrus,0.07727201488506551,Talairach Gyrus
Superior Temporal Gyrus,0.4271795993312265,Talairach Gyrus
Sub-Gyral,0.07034500151978623,Talairach Gyrus
Pyramis,0.259497712291638,Talairach Gyrus
Uvula,0.4093337573782443,Talairach Gyrus
Uvula of Vermis,0.64835464564958,Talairach Gyrus
Fourth Ventricle,0.03575088927755691,Talairach Gyrus
Tuber,0.19005607557289908,Talairach Gyrus
Pyramis of Vermis,0.1703735475714229,Talairach Gyrus
Nodule,0.37329768016312936,Talairach Gyrus
Culmen,0.4996519703199458,Talairach Gyrus
Orbital Gyrus,0.0920023912058632,Talairach Gyrus
Tuber of Vermis,0.20930629761946717,Talairach Gyrus
Fusiform Gyrus,0.4479494894494266,Talairach Gyrus
Parahippocampal Gyrus,0.4817299357870998,Talairach Gyrus
Rectal Gyrus,0.07722244713022273,Talairach Gyrus
Superior Frontal Gyrus,0.08447816111484173,Talairach Gyrus
Declive,0.4389054236876786,Talairach Gyrus
Declive of Vermis,0.780075938202471,Talairach Gyrus
Fastigium,0.03253116465860639,Talairach Gyrus
Lateral Ventricle,0.3285655325640016,Talairach Gyrus
Inferior Frontal Gyrus,0.039601354145873645,Talairach Gyrus
Middle Frontal Gyrus,0.17150281428944278,Talairach Gyrus
Cerebellar Lingual,0.2719056188857355,Talairach Gyrus
Medial Frontal Gyrus,0.22972575099871392,Talairach Gyrus
Lingual Gyrus,0.9343080325213392,Talairach Gyrus
Inferior Occipital Gyrus,0.3179134597382106,Talairach Gyrus
Subcallosal Gyrus,0.0009263237620083841,Talairach Gyrus
Middle Occipital Gyrus,0.7355380947517483,Talairach Gyrus
Culmen of Vermis,0.4441479789717112,Talairach Gyrus
